,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,30,0.08333333333333333,3,3,0,2,3,1,moving,False,0.03927302360534668,True,9.0,False,3,"[[30, 0, 0], [30, 1, 0], [27, 1, 1], [27, 1, 2]]",[0.9193855198931661]
1,30,0.08333333333333333,3,3,0,2,3,2,moving,False,4.801267862319946,True,17.0,False,3,"[[30, 0, 0], [14, 1, 0], [14, 1, 1], [14, 1, 2], [23, 2, 0], [24, 2, 1], [24, 2, 2]]","[0.7294798366431324, 1.8285406985912296]"
2,30,0.08333333333333333,3,3,0,2,3,3,moving,False,27.907588005065918,True,20.0,True,3,"[[30, 0, 0], [30, 1, 0], [14, 1, 1], [14, 1, 2], [23, 2, 0], [24, 2, 1], [24, 2, 2], [12, 3, 0], [12, 3, 1], [12, 3, 2]]","[0.7294798366431324, 1.8285406985914359, 2.724435503112287]"
3,30,0.08333333333333333,3,3,0,7,2,1,moving,False,0.0016169548034667969,True,10.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
4,30,0.08333333333333333,3,3,0,7,2,2,moving,False,0.009160041809082031,True,23.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [24, 2, 1]]","[0.0, 1.722988151630116]"
5,30,0.08333333333333333,3,3,0,7,2,3,moving,False,0.03208589553833008,True,29.0,True,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [24, 2, 1], [24, 3, 0], [24, 3, 1]]","[0.0, 1.722988151630116, 1.7229881516300947]"
6,30,0.08333333333333333,3,3,1,2,3,1,moving,False,0.028998851776123047,True,9.0,False,3,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [20, 1, 2]]",[0.4890092702095209]
7,30,0.08333333333333333,3,3,1,2,3,2,moving,False,4.87939715385437,True,16.0,False,3,"[[30, 0, 0], [19, 1, 0], [19, 1, 1], [19, 1, 2], [5, 2, 0], [5, 2, 1], [5, 2, 2]]","[0.6438595020596499, 1.403342430331607]"
8,30,0.08333333333333333,3,3,1,2,3,3,moving,False,26.82351803779602,True,19.0,False,3,"[[30, 0, 0], [19, 1, 0], [19, 1, 1], [19, 1, 2], [1, 2, 0], [1, 2, 1], [1, 2, 2], [4, 3, 0], [4, 3, 1], [8, 3, 2]]","[0.643859502059602, 1.6301780769225176, 2.9643712489794454]"
9,30,0.08333333333333333,3,3,1,2,3,4,moving,False,63.28119683265686,True,21.0,True,3,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [19, 1, 2], [19, 2, 0], [19, 2, 1], [19, 2, 2], [19, 3, 0], [8, 3, 1], [29, 3, 2], [22, 4, 0], [13, 4, 1], [13, 4, 2]]","[0.643859502059602, 0.643859502059602, 2.506283324185722, 3.9720651526111332]"
10,30,0.08333333333333333,3,3,1,7,2,1,moving,False,0.0015919208526611328,True,10.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
11,30,0.08333333333333333,3,3,1,7,2,2,moving,False,0.008638143539428711,True,19.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [30, 2, 1]]","[0.0, 0.0]"
12,30,0.08333333333333333,3,3,1,7,2,3,moving,False,0.0212249755859375,True,26.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [30, 2, 1], [30, 3, 0], [30, 3, 1]]","[0.0, 0.0, 0.0]"
13,30,0.08333333333333333,3,3,1,7,2,4,moving,False,0.038236141204833984,True,29.0,True,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [30, 2, 1], [30, 3, 0], [30, 3, 1], [30, 4, 0], [18, 4, 1]]","[0.0, 0.0, 0.0, 3.355816032114568]"
14,30,0.08333333333333333,3,3,2,2,4,1,moving,False,0.6524858474731445,True,11.0,False,4,"[[30, 0, 0], [30, 1, 0], [5, 1, 1], [5, 1, 2], [29, 1, 3]]",[0.9373725021952524]
15,30,0.08333333333333333,3,3,2,2,4,2,moving,False,21.03551197052002,True,19.0,False,4,"[[30, 0, 0], [6, 1, 0], [0, 1, 1], [0, 1, 2], [0, 1, 3], [13, 2, 0], [13, 2, 1], [13, 2, 2], [29, 2, 3]]","[0.9577448804375764, 1.8707861023973744]"
16,30,0.08333333333333333,3,3,2,2,4,3,moving,False,160.22784209251404,True,21.0,False,4,"[[30, 0, 0], [2, 1, 0], [2, 1, 1], [2, 1, 2], [18, 1, 3], [28, 2, 0], [28, 2, 1], [28, 2, 2], [16, 2, 3], [16, 3, 0], [20, 3, 1], [20, 3, 2], [20, 3, 3]]","[0.9969305237841675, 1.9888202506097485, 2.68357092197592]"
17,30,0.08333333333333333,3,3,2,2,4,4,moving,False,284.44758582115173,True,21.0,True,4,"[[30, 0, 0], [5, 1, 0], [29, 1, 1], [29, 1, 2], [29, 1, 3], [29, 2, 0], [29, 2, 1], [6, 2, 2], [13, 2, 3], [13, 3, 0], [1, 3, 1], [1, 3, 2], [1, 3, 3], [1, 4, 0], [1, 4, 1], [1, 4, 2], [19, 4, 3]]","[0.9373725021953407, 1.8905206052505255, 2.582762294963718, 3.5696770137435867]"
18,30,0.08333333333333333,3,3,2,7,2,1,moving,False,0.0015017986297607422,True,12.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
19,30,0.08333333333333333,3,3,2,7,2,2,moving,False,0.01039886474609375,True,24.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [23, 2, 1]]","[0.0, 1.7597665285138762]"
20,30,0.08333333333333333,3,3,2,7,2,3,moving,False,0.04573702812194824,True,26.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [6, 2, 0], [6, 2, 1], [6, 3, 0], [6, 3, 1]]","[0.0, 1.627611753277603, 1.627611753277603]"
21,30,0.08333333333333333,3,3,2,7,2,4,moving,False,0.20180916786193848,True,27.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [6, 2, 0], [6, 2, 1], [6, 3, 0], [6, 3, 1], [6, 4, 0], [19, 4, 1]]","[0.0, 1.627611753277603, 1.627611753277603, 3.500136594243365]"
22,30,0.08333333333333333,3,3,2,7,2,5,moving,False,0.5621471405029297,True,28.0,True,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [6, 2, 1], [6, 3, 0], [6, 3, 1], [6, 4, 0], [6, 4, 1], [1, 5, 0], [1, 5, 1]]","[0.0, 1.627611753277603, 1.6276117532776022, 1.6276117532776022, 3.4625996258400593]"
23,30,0.08333333333333333,3,3,3,2,4,1,moving,False,0.08770322799682617,True,12.0,False,4,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [0, 1, 2], [0, 1, 3]]",[0.502564091100111]
24,30,0.08333333333333333,3,3,3,2,4,2,moving,False,9.129179000854492,True,22.0,False,4,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [20, 1, 2], [20, 1, 3], [11, 2, 0], [21, 2, 1], [15, 2, 2], [15, 2, 3]]","[0.9895749294826849, 1.868830511445239]"
25,30,0.08333333333333333,3,3,3,2,4,3,moving,False,97.66445422172546,True,25.0,True,4,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 1, 2], [0, 1, 3], [17, 2, 0], [17, 2, 1], [4, 2, 2], [4, 2, 3], [8, 3, 0], [8, 3, 1], [8, 3, 2], [8, 3, 3]]","[0.502564091100111, 1.9428047507594792, 2.3935884923371846]"
26,30,0.08333333333333333,3,3,3,7,2,1,moving,False,0.0016281604766845703,True,13.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1]]",[0.0]
27,30,0.08333333333333333,3,3,3,7,2,2,moving,False,0.009163141250610352,True,25.0,False,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [17, 2, 1]]","[0.0, 1.932470206666949]"
28,30,0.08333333333333333,3,3,3,7,2,3,moving,False,0.029199838638305664,True,29.0,True,2,"[[30, 0, 0], [30, 1, 0], [30, 1, 1], [30, 2, 0], [17, 2, 1], [17, 3, 0], [17, 3, 1]]","[0.0, 1.932470206666949, 1.932470206666949]"
