,num_nodes,p,dim,burnt_nodes,instance,lambda_d,D,T,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,20,0.125,3,3,0,2,3,1,moving,False,0.04022693634033203,True,7.0,False,3,"[[20, 0, 0], [20, 1, 0], [5, 1, 1], [16, 1, 2]]",[0.9307853530323533]
1,20,0.125,3,3,0,2,3,2,moving,False,1.5234990119934082,True,11.0,False,3,"[[20, 0, 0], [5, 1, 0], [16, 1, 1], [16, 1, 2], [16, 2, 0], [6, 2, 1], [6, 2, 2]]","[0.9307853530323533, 1.9329439451646]"
2,20,0.125,3,3,0,2,3,3,moving,False,8.611162900924683,True,12.0,True,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [5, 1, 2], [6, 2, 0], [6, 2, 1], [2, 2, 2], [2, 3, 0], [14, 3, 1], [14, 3, 2]]","[0.3210388504448907, 1.859653558076322, 2.739110534684316]"
3,20,0.125,3,3,0,7,1,1,moving,False,0.0005319118499755859,True,9.0,False,1,"[[20, 0, 0], [20, 1, 0]]",[0.0]
4,20,0.125,3,3,0,7,1,2,moving,False,0.0009551048278808594,True,16.0,False,1,"[[20, 0, 0], [20, 1, 0], [20, 2, 0]]","[0.0, 0.0]"
5,20,0.125,3,3,0,7,1,3,moving,False,0.0017261505126953125,True,18.0,False,1,"[[20, 0, 0], [20, 1, 0], [20, 2, 0], [20, 3, 0]]","[0.0, 0.0, 0.0]"
6,20,0.125,3,3,0,7,1,4,moving,False,0.0035851001739501953,True,19.0,True,1,"[[20, 0, 0], [20, 1, 0], [20, 2, 0], [20, 3, 0], [3, 4, 0]]","[0.0, 0.0, 0.0, 2.718004029396051]"
7,20,0.125,3,3,1,2,3,1,moving,False,0.031327009201049805,True,5.0,False,3,"[[20, 0, 0], [20, 1, 0], [6, 1, 1], [6, 1, 2]]",[0.5168504170164616]
8,20,0.125,3,3,1,2,3,2,moving,False,1.1113159656524658,True,7.0,False,3,"[[20, 0, 0], [20, 1, 0], [6, 1, 1], [6, 1, 2], [13, 2, 0], [13, 2, 1], [13, 2, 2]]","[0.5168504170164616, 1.5497542420287622]"
9,20,0.125,3,3,1,2,3,3,moving,False,11.851109027862549,True,10.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [6, 1, 2], [13, 2, 0], [13, 2, 1], [13, 2, 2], [13, 3, 0], [13, 3, 1], [13, 3, 2]]","[0.5168504170164616, 1.5497542420287622, 1.5497542420287622]"
10,20,0.125,3,3,1,2,3,4,moving,False,18.160664796829224,True,10.0,True,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [6, 1, 2], [6, 2, 0], [6, 2, 1], [13, 2, 2], [13, 3, 0], [13, 3, 1], [11, 3, 2], [11, 4, 0], [8, 4, 1], [8, 4, 2]]","[0.5168504170164616, 1.5497542420287622, 1.8439504868053156, 3.7978886688834157]"
11,20,0.125,3,3,1,7,1,1,moving,False,0.00047397613525390625,True,6.0,False,1,"[[20, 0, 0], [20, 1, 0]]",[0.0]
12,20,0.125,3,3,1,7,1,2,moving,False,0.001013040542602539,True,12.0,False,1,"[[20, 0, 0], [20, 1, 0], [20, 2, 0]]","[0.0, 0.0]"
13,20,0.125,3,3,1,7,1,3,moving,False,0.0022389888763427734,True,16.0,True,1,"[[20, 0, 0], [20, 1, 0], [20, 2, 0], [11, 3, 0]]","[0.0, 0.0, 1.8393221463977296]"
14,20,0.125,3,3,2,2,3,1,moving,False,0.005052089691162109,True,7.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 1, 2]]",[1.1102230246251565e-16]
15,20,0.125,3,3,2,2,3,2,moving,False,0.3402271270751953,True,13.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [16, 1, 2], [13, 2, 0], [7, 2, 1], [7, 2, 2]]","[0.9073153757665098, 1.858607827804925]"
16,20,0.125,3,3,2,2,3,3,moving,False,8.921993970870972,True,15.0,True,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [16, 1, 2], [13, 2, 0], [13, 2, 1], [17, 2, 2], [17, 3, 0], [17, 3, 1], [9, 3, 2]]","[0.9073153757665097, 1.866122683686874, 2.82111967174105]"
17,20,0.125,3,3,2,7,2,1,moving,False,0.0009870529174804688,True,7.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
18,20,0.125,3,3,2,7,2,2,moving,False,0.004022121429443359,True,15.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1]]","[0.0, 0.0]"
19,20,0.125,3,3,2,7,2,3,moving,False,0.00908207893371582,True,19.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1]]","[0.0, 0.0, 0.0]"
20,20,0.125,3,3,2,7,2,4,moving,False,0.015379905700683594,True,20.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1], [20, 4, 0], [20, 4, 1]]","[0.0, 0.0, 0.0, 0.0]"
21,20,0.125,3,3,3,2,3,1,moving,False,0.005877971649169922,True,7.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 1, 2]]",[0.0]
22,20,0.125,3,3,3,2,3,2,moving,False,0.4426438808441162,True,11.0,False,3,"[[20, 0, 0], [14, 1, 0], [14, 1, 1], [14, 1, 2], [6, 2, 0], [6, 2, 1], [4, 2, 2]]","[0.9121479820611887, 1.8660936736252545]"
23,20,0.125,3,3,3,2,3,3,moving,False,5.873013973236084,True,12.0,False,3,"[[20, 0, 0], [14, 1, 0], [14, 1, 1], [14, 1, 2], [9, 2, 0], [4, 2, 1], [4, 2, 2], [19, 3, 0], [19, 3, 1], [19, 3, 2]]","[0.9121479820611887, 1.9721557184475675, 2.986843001957636]"
24,20,0.125,3,3,3,2,3,4,moving,False,6.93181586265564,True,12.0,True,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 1, 2], [6, 2, 0], [9, 2, 1], [9, 2, 2], [19, 3, 0], [7, 3, 1], [7, 3, 2], [7, 4, 0], [7, 4, 1], [7, 4, 2]]","[0.0, 1.7551996978543412, 2.8902150721525084, 2.8902150721525084]"
25,20,0.125,3,3,3,7,2,1,moving,False,0.0009930133819580078,True,7.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
26,20,0.125,3,3,3,7,2,2,moving,False,0.004049062728881836,True,14.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1]]","[0.0, 0.0]"
27,20,0.125,3,3,3,7,2,3,moving,False,0.00913095474243164,True,17.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1]]","[0.0, 0.0, 0.0]"
28,20,0.125,3,3,3,7,2,4,moving,False,0.015268087387084961,True,19.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1], [20, 4, 0], [20, 4, 1]]","[0.0, 0.0, 0.0, 0.0]"
29,20,0.125,3,3,3,7,2,5,moving,False,0.023272037506103516,True,19.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1], [20, 4, 0], [20, 4, 1], [20, 5, 0], [13, 5, 1]]","[0.0, 0.0, 0.0, 0.0, 4.119657626182709]"
30,20,0.125,3,3,4,2,3,1,moving,False,0.012295007705688477,True,11.0,False,3,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 1, 2]]",[0.21103232021178192]
31,20,0.125,3,3,4,2,3,2,moving,False,0.32793688774108887,True,16.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [9, 1, 2], [9, 2, 0], [17, 2, 1], [17, 2, 2]]","[0.21103232021178187, 1.7534872065190092]"
32,20,0.125,3,3,4,2,3,3,moving,False,2.779064893722534,True,16.0,True,3,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 1, 2], [1, 2, 0], [1, 2, 1], [1, 2, 2], [5, 3, 0], [5, 3, 1], [5, 3, 2]]","[0.2110323202117932, 1.4546491718117311, 1.7400705052506031]"
33,20,0.125,3,3,4,7,2,1,moving,False,0.001386880874633789,True,11.0,False,2,"[[20, 0, 0], [20, 1, 0], [9, 1, 1]]",[0.7386131207412368]
34,20,0.125,3,3,4,7,2,2,moving,False,0.007982969284057617,True,17.0,False,2,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 2, 0], [9, 2, 1]]","[0.7386131207412368, 0.7386131207412368]"
35,20,0.125,3,3,4,7,2,3,moving,False,0.015265941619873047,True,19.0,True,2,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 2, 0], [9, 2, 1], [9, 3, 0], [9, 3, 1]]","[0.7386131207412368, 0.7386131207412368, 0.7386131207412368]"
36,20,0.125,3,3,5,2,3,1,moving,False,0.043601036071777344,True,11.0,False,3,"[[20, 0, 0], [0, 1, 0], [0, 1, 1], [0, 1, 2]]",[0.5920361514475154]
37,20,0.125,3,3,5,2,3,2,moving,False,2.635719060897827,True,14.0,True,3,"[[20, 0, 0], [0, 1, 0], [0, 1, 1], [9, 1, 2], [3, 2, 0], [3, 2, 1], [19, 2, 2]]","[0.8762206527434683, 1.9047198855691891]"
38,20,0.125,3,3,5,7,2,1,moving,False,0.000988006591796875,True,12.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
39,20,0.125,3,3,5,7,2,2,moving,False,0.005360841751098633,True,17.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [3, 2, 1]]","[0.0, 1.8802603906607671]"
40,20,0.125,3,3,5,7,2,3,moving,False,0.019896984100341797,True,18.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [3, 2, 0], [3, 2, 1], [3, 3, 0], [3, 3, 1]]","[0.0, 1.8802603906607671, 1.8802603906607671]"
41,20,0.125,3,3,5,7,2,4,moving,False,0.03261590003967285,True,18.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [9, 3, 0], [9, 3, 1], [9, 4, 0], [9, 4, 1]]","[0.0, 0.0, 1.1253427672987388, 1.1253427672987388]"
42,20,0.125,3,3,6,2,3,1,moving,False,0.006006956100463867,True,10.0,False,3,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 1, 2]]",[0.762786179840864]
43,20,0.125,3,3,6,2,3,2,moving,False,0.361469030380249,True,14.0,False,3,"[[20, 0, 0], [20, 1, 0], [9, 1, 1], [9, 1, 2], [9, 2, 0], [16, 2, 1], [16, 2, 2]]","[0.762786179840864, 1.8383048931813177]"
44,20,0.125,3,3,6,2,3,3,moving,False,5.214308977127075,True,14.0,True,3,"[[20, 0, 0], [9, 1, 0], [9, 1, 1], [9, 1, 2], [6, 2, 0], [6, 2, 1], [6, 2, 2], [8, 3, 0], [8, 3, 1], [8, 3, 2]]","[0.762786179840864, 1.3029336070373647, 2.3348368334434264]"
45,20,0.125,3,3,6,7,2,1,moving,False,0.001004934310913086,True,11.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
46,20,0.125,3,3,6,7,2,2,moving,False,0.0041010379791259766,True,17.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1]]","[0.0, 0.0]"
47,20,0.125,3,3,6,7,2,3,moving,False,0.008852005004882812,True,20.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1]]","[0.0, 0.0, 0.0]"
48,20,0.125,3,3,7,2,3,1,moving,False,0.009119033813476562,True,8.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [5, 1, 2]]",[0.7228957872681756]
49,20,0.125,3,3,7,2,3,2,moving,False,0.577470064163208,True,12.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [5, 1, 2], [0, 2, 0], [3, 2, 1], [3, 2, 2]]","[0.7228957872681756, 1.803158078612405]"
50,20,0.125,3,3,7,2,3,3,moving,False,6.4309680461883545,True,14.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [2, 1, 2], [2, 2, 0], [8, 2, 1], [8, 2, 2], [18, 3, 0], [12, 3, 1], [12, 3, 2]]","[0.7680870952273975, 1.494373495208565, 2.9292124530480645]"
51,20,0.125,3,3,7,2,3,4,moving,False,8.574589967727661,True,14.0,True,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [5, 1, 2], [5, 2, 0], [0, 2, 1], [3, 2, 2], [18, 3, 0], [12, 3, 1], [12, 3, 2], [12, 4, 0], [12, 4, 1], [1, 4, 2]]","[0.7228957872681756, 1.803158078612405, 2.8835768057355025, 3.853501658599976]"
52,20,0.125,3,3,7,7,2,1,moving,False,0.0009779930114746094,True,9.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
53,20,0.125,3,3,7,7,2,2,moving,False,0.004041194915771484,True,16.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1]]","[0.0, 0.0]"
54,20,0.125,3,3,7,7,2,3,moving,False,0.009003162384033203,True,20.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1]]","[0.0, 0.0, 0.0]"
55,20,0.125,3,3,8,2,3,1,moving,False,0.018651962280273438,True,7.0,False,3,"[[20, 0, 0], [20, 1, 0], [11, 1, 1], [11, 1, 2]]",[0.36281445451653016]
56,20,0.125,3,3,8,2,3,2,moving,False,1.6875040531158447,True,11.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [11, 1, 2], [11, 2, 0], [7, 2, 1], [7, 2, 2]]","[0.36281445451653016, 1.400584099418983]"
57,20,0.125,3,3,8,2,3,3,moving,False,9.120919942855835,True,12.0,True,3,"[[20, 0, 0], [11, 1, 0], [11, 1, 1], [11, 1, 2], [15, 2, 0], [15, 2, 1], [5, 2, 2], [17, 3, 0], [17, 3, 1], [17, 3, 2]]","[0.36281445451653016, 1.8311100557870787, 2.865060338145751]"
58,20,0.125,3,3,8,7,2,1,moving,False,0.0009701251983642578,True,8.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1]]",[0.0]
59,20,0.125,3,3,8,7,2,2,moving,False,0.00461578369140625,True,14.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [18, 2, 1]]","[0.0, 1.7168666381306976]"
60,20,0.125,3,3,8,7,2,3,moving,False,0.015690088272094727,True,16.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [18, 3, 1]]","[0.0, 0.0, 1.7168666381307358]"
61,20,0.125,3,3,8,7,2,4,moving,False,0.04029989242553711,True,19.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1], [2, 4, 0], [2, 4, 1]]","[0.0, 0.0, 0.0, 2.472531102017592]"
62,20,0.125,3,3,9,2,3,1,moving,False,0.06021618843078613,True,8.0,False,3,"[[20, 0, 0], [1, 1, 0], [1, 1, 1], [1, 1, 2]]",[0.6940477301525994]
63,20,0.125,3,3,9,2,3,2,moving,False,1.8187689781188965,True,12.0,False,3,"[[20, 0, 0], [3, 1, 0], [1, 1, 1], [1, 1, 2], [19, 2, 0], [19, 2, 1], [19, 2, 2]]","[0.7563843455701136, 1.8844673562927932]"
64,20,0.125,3,3,9,2,3,3,moving,False,7.514561891555786,True,13.0,False,3,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [1, 1, 2], [3, 2, 0], [19, 2, 1], [19, 2, 2], [19, 3, 0], [19, 3, 1], [19, 3, 2]]","[0.6940477301525994, 1.9923057809485432, 1.9923057809485432]"
65,20,0.125,3,3,9,2,3,4,moving,False,6.562150955200195,True,13.0,True,3,"[[20, 0, 0], [1, 1, 0], [1, 1, 1], [1, 1, 2], [3, 2, 0], [19, 2, 1], [19, 2, 2], [19, 3, 0], [19, 3, 1], [19, 3, 2], [19, 4, 0], [6, 4, 1], [6, 4, 2]]","[0.6940477301525994, 1.9923057809485438, 1.9923057809485438, 3.588583324397348]"
66,20,0.125,3,3,9,7,2,1,moving,False,0.00152587890625,True,9.0,False,2,"[[20, 0, 0], [20, 1, 0], [3, 1, 1]]",[0.9777464249927648]
67,20,0.125,3,3,9,7,2,2,moving,False,0.010408878326416016,True,16.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [4, 2, 1]]","[0.0, 1.9284634494768769]"
68,20,0.125,3,3,9,7,2,3,moving,False,0.02531599998474121,True,18.0,False,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [4, 2, 0], [4, 2, 1], [4, 3, 0], [4, 3, 1]]","[0.0, 1.9284634494768627, 1.9284634494768627]"
69,20,0.125,3,3,9,7,2,4,moving,False,0.04302692413330078,True,19.0,True,2,"[[20, 0, 0], [20, 1, 0], [20, 1, 1], [20, 2, 0], [20, 2, 1], [20, 3, 0], [20, 3, 1], [3, 4, 0], [3, 4, 1]]","[0.0, 0.0, 0.0, 0.9777464249927648]"
